Time,Open,High,Low,Close,Volume
2024-01-27 00:00:00,2267.67,2268.93,2265.23,2266.4,1067.3254
2024-01-27 00:05:00,2266.4,2270.35,2266.4,2270.03,586.8083
2024-01-27 00:10:00,2270.03,2273.22,2270.03,2273.08,1120.6878
2024-01-27 00:15:00,2273.07,2273.81,2271.11,2271.59,654.3381
2024-01-27 00:20:00,2271.59,2273.31,2270.09,2270.8,1093.5429
2024-01-27 00:25:00,2270.8,2273.31,2270.28,2272.41,658.7199
2024-01-27 00:30:00,2272.41,2277.0,2271.46,2275.31,2226.8961
2024-01-27 00:35:00,2275.32,2276.8,2274.68,2276.79,658.038
2024-01-27 00:40:00,2276.79,2278.26,2276.14,2276.76,753.3068
2024-01-27 00:45:00,2276.76,2278.3,2272.96,2274.79,1562.1033
2024-01-27 00:50:00,2274.78,2279.22,2274.78,2278.75,573.1217
2024-01-27 00:55:00,2278.74,2280.31,2278.74,2280.18,1079.3749
2024-01-27 01:00:00,2280.17,2282.94,2277.45,2277.67,1212.5799
2024-01-27 01:05:00,2277.66,2277.73,2276.15,2277.28,705.2921
2024-01-27 01:10:00,2277.28,2277.35,2274.0,2274.07,590.7936
2024-01-27 01:15:00,2274.06,2276.42,2273.45,2275.78,331.5628
2024-01-27 01:20:00,2275.77,2278.2,2275.1,2276.49,465.816
2024-01-27 01:25:00,2276.48,2278.56,2275.81,2277.49,430.6497
2024-01-27 01:30:00,2277.5,2277.5,2275.88,2275.93,516.9416
2024-01-27 01:35:00,2275.94,2277.61,2274.41,2276.4,818.5461
2024-01-27 01:40:00,2276.39,2276.4,2274.6,2274.8,573.5261
2024-01-27 01:45:00,2274.8,2276.58,2273.5,2273.5,852.8247
2024-01-27 01:50:00,2273.5,2273.51,2268.05,2269.23,1307.7887
2024-01-27 01:55:00,2269.23,2271.44,2268.34,2270.57,340.2923
2024-01-27 02:00:00,2270.56,2272.28,2270.16,2272.28,417.3428
2024-01-27 02:05:00,2272.27,2272.66,2271.27,2271.55,235.7428
2024-01-27 02:10:00,2271.55,2273.0,2271.35,2272.92,169.8698
2024-01-27 02:15:00,2272.92,2273.5,2272.14,2272.77,354.7298
2024-01-27 02:20:00,2272.78,2274.41,2272.17,2274.4,216.2142
2024-01-27 02:25:00,2274.41,2274.57,2271.16,2271.17,231.7896
2024-01-27 02:30:00,2271.16,2273.45,2270.84,2272.38,452.5467
2024-01-27 02:35:00,2272.37,2273.38,2271.66,2272.11,289.906
2024-01-27 02:40:00,2272.11,2272.88,2271.8,2272.87,206.2025
2024-01-27 02:45:00,2272.88,2274.84,2272.46,2274.08,582.9256
2024-01-27 02:50:00,2274.09,2275.57,2272.97,2275.57,282.6287
2024-01-27 02:55:00,2275.57,2275.57,2274.23,2274.7,402.3866
2024-01-27 03:00:00,2274.7,2276.32,2272.06,2272.3,682.9145
2024-01-27 03:05:00,2272.3,2274.0,2271.75,2272.29,279.9362
2024-01-27 03:10:00,2272.28,2273.4,2271.78,2272.03,879.347
2024-01-27 03:15:00,2272.03,2273.94,2271.88,2273.52,313.4711
2024-01-27 03:20:00,2273.52,2274.18,2271.85,2274.18,350.2754
2024-01-27 03:25:00,2274.17,2275.95,2274.17,2275.1,323.2307
2024-01-27 03:30:00,2275.1,2276.57,2275.09,2276.4,417.0377
2024-01-27 03:35:00,2276.4,2276.84,2274.81,2275.11,249.9161
2024-01-27 03:40:00,2275.12,2275.24,2273.8,2274.88,577.745
2024-01-27 03:45:00,2274.88,2276.27,2274.88,2275.47,203.7113
2024-01-27 03:50:00,2275.46,2275.7,2274.44,2274.47,352.8096
2024-01-27 03:55:00,2274.47,2275.5,2273.26,2274.13,367.4455
2024-01-27 04:00:00,2274.13,2276.17,2274.12,2274.66,273.6512
